Date,Stock,Entry Mode,Entry Time,Entry Price (₹),Stop-Loss (₹),Target (₹),Risk Per Share (₹),Risk %,Trigger Was (₹),Volume Strength,Relative Strength %,Why Entered,symbol,expectancy,weight,entry,stop,risk_per_share,target,loss_cap,qi_raw,qi_cap,qi,value,qi_final,value_final,allocation_reason,risk_allocated
2025-12-22,JWL,A - ORB Breakout,09:45:00,287.85,280.65,302.3,7.2,2.5,287.65,88.67x,1.19,Price broke above Opening Range High with strong volume and momentum,JWL,1.19,0.013530415008527572,287.85,282.093,5.757000000000001,299.36400000000003,27.060830017055142,4,10,0,0.0,0,0.0,below_min_notional,0.0
2025-12-22,KEC,A - ORB Breakout,09:45:00,752.3,739.2,778.5,13.1,1.74,749.25,4.07x,2.23,Price broke above Opening Range High with strong volume and momentum,KEC,2.23,0.02535531552018192,752.3,737.2539999999999,15.046,782.3919999999999,50.71063104036384,3,3,0,0.0,0,0.0,below_min_notional,0.0
2025-12-22,RVNL,A - ORB Breakout,09:50:00,327.3,323.1,335.7,4.2,1.28,326.05,2.03x,1.09,Price broke above Opening Range High with strong volume and momentum,RVNL,1.09,0.012393405343945424,327.3,320.754,6.546,340.392,24.78681068789085,3,9,0,0.0,0,0.0,below_min_notional,0.0
2025-12-22,TITAGARH,A - ORB Breakout,09:55:00,800.5,791.3,818.9,9.2,1.15,795.05,2.35x,1.34,Price broke above Opening Range High with strong volume and momentum,TITAGARH,1.34,0.015235929505400796,800.5,784.49,16.01,832.52,30.47185901080159,1,3,0,0.0,0,0.0,below_min_notional,0.0
2025-12-23,JWL,A - ORB Breakout,09:45:00,331.75,323.45,348.35,8.3,2.5,326.15,14.65x,7.44,Price broke above Opening Range High with strong volume and momentum,JWL,7.44,0.08459351904491189,331.75,325.115,6.635,345.02,169.18703808982377,25,9,0,0.0,0,0.0,below_min_notional,0.0
2025-12-23,RAILTEL,A - ORB Breakout,09:45:00,356.6,351.5,366.85,5.1,1.43,353.25,6.11x,2.79,Price broke above Opening Range High with strong volume and momentum,RAILTEL,2.79,0.031722569641841954,356.6,349.468,7.132000000000001,370.86400000000003,63.44513928368391,8,8,0,0.0,0,0.0,below_min_notional,0.0
2025-12-23,CHOICEIN,A - ORB Breakout,09:45:00,802.0,793.95,818.1,8.05,1.0,797.15,3.94x,1.12,Price broke above Opening Range High with strong volume and momentum,CHOICEIN,1.12,0.01273450824332007,802.0,785.96,16.04,834.08,25.46901648664014,1,3,0,0.0,0,0.0,below_min_notional,0.0
2025-12-23,HINDCOPPER,A - ORB Breakout,09:50:00,413.5,406.4,427.7,7.1,1.72,413.4,2.17x,0.96,Price broke above Opening Range High with strong volume and momentum,HINDCOPPER,0.96,0.01091529277998863,413.5,405.23,8.27,430.04,21.83058555997726,2,7,0,0.0,0,0.0,below_min_notional,0.0
2025-12-23,JKTYRE,A - ORB Breakout,09:55:00,509.05,503.95,519.25,5.1,1.0,507.85,3.02x,0.83,Price broke above Opening Range High with strong volume and momentum,JKTYRE,0.83,0.009437180216031835,509.05,498.869,10.181000000000001,529.412,18.874360432063668,1,5,0,0.0,0,0.0,below_min_notional,0.0
2025-12-23,BDL,A - ORB Breakout,09:55:00,1442.0,1427.55,1470.9,14.45,1.0,1437.0,3.71x,0.8,Price broke above Opening Range High with strong volume and momentum,BDL,0.8,0.009096077316657191,1442.0,1413.16,28.84,1499.68,18.19215463331438,0,2,0,0.0,0,0.0,insufficient_loss_budget,0.0
